품목명,가격,브랜드,행사
2%아쿠아240캔,1000,MINISTOP(미니스톱),1+1
2%아쿠아500ml,1700,MINISTOP(미니스톱),2+1
2080)불닭호치치약,4000,MINISTOP(미니스톱),1+1
2080)치약오리지날125g,3500,EMART24(이마트24),1+1
2080)칫솔오리지날탄력모,2800,EMART24(이마트24),1+1
2080)핵불닭호치치약100g,4000,EMART24(이마트24),1+1
2080오리지널치약,3500,MINISTOP(미니스톱),1+1
3M)간편물걸레청소포(50매),3500,EMART24(이마트24),2+1
3M)간편정전기청소포(60매),3500,EMART24(이마트24),2+1
3M)블레미쉬클리어커버14매,3000,EMART24(이마트24),2+1
3M)테이프클리너(대형),12900,EMART24(이마트24),2+1
46Cm극세모칫솔,3500,MINISTOP(미니스톱),1+1
46Cm쿨민트치약,3500,MINISTOP(미니스톱),1+1
46cm)초극세모칫솔,3500,CU(씨유),1+1
46cm)쿨민트치약,3500,CU(씨유),1+1
85도씨대만소금커피300ml,2000,CU(씨유),2+1
99라이트바,1200,MINISTOP(미니스톱),2+1
CAFE25)블랙500ML,2500,GS25(지에스25),2+1
CAFE25)헤이즐넛500ML,2500,GS25(지에스25),2+1
CJ)가쓰오우동(용기),2900,GS25(지에스25),2+1
CJ)가쓰오우동한그릇용기면222.5G,2900,EMART24(이마트24),2+1
CJ)누룽지닭백숙죽280G,3900,GS25(지에스25),1+1
CJ)맛밤3500,3500,EMART24(이마트24),2+1
CJ)맥스봉50g,1600,7-ELEVEN(세븐일레븐),2+1
CJ)맥스봉갈릭후랑크,2000,MINISTOP(미니스톱),2+1
CJ)맥스봉구운마늘후랑크80g,2000,EMART24(이마트24),2+1
CJ)맥스봉빅소시지150G,3000,CU(씨유),1+1
CJ)맥스봉빅소시지150G,3000,EMART24(이마트24),1+1
CJ)맥스봉빅소시지150g,3000,7-ELEVEN(세븐일레븐),1+1
CJ)맥스봉숯불구이맛핫바,2000,CU(씨유),2+1
CJ)맥스봉숯불구이맛핫바90g,2000,7-ELEVEN(세븐일레븐),2+1
CJ)맥스봉숯불구이맛핫바90g,2000,EMART24(이마트24),2+1
CJ)맥스봉오리지널50g,1700,CU(씨유),1+1
CJ)맥스봉오리지널50g,1700,MINISTOP(미니스톱),1+1
CJ)맥스봉오리지널50g,1700,EMART24(이마트24),2+1
CJ)맥스봉오리지널50g,1700,7-ELEVEN(세븐일레븐),1+1
CJ)맥스봉직화구이꼬치바90g,2000,EMART24(이마트24),2+1
CJ)맥스봉직화구이꼬치바90g,2000,7-ELEVEN(세븐일레븐),2+1
CJ)맥스봉직화꼬치바,2000,CU(씨유),2+1
CJ)맥스봉청양고추후랑크80G,2000,GS25(지에스25),2+1
CJ)맥스봉청양고추후랑크80g,2000,EMART24(이마트24),2+1
CJ)맥스봉치즈50g,1600,MINISTOP(미니스톱),2+1
CJ)맥스봉치즈70G,2000,GS25(지에스25),2+1
CJ)맥스봉치즈70g,2000,7-ELEVEN(세븐일레븐),2+1
CJ)맥스봉치즈70g,2000,EMART24(이마트24),2+1
CJ)맥스봉치즈70g,2000,CU(씨유),2+1
CJ)맥스봉치즈플러스55g,1800,7-ELEVEN(세븐일레븐),2+1
CJ)맥스봉크레이지핫핫바,2000,CU(씨유),2+1
CJ)맥스봉크레이지핫핫바90g,2000,EMART24(이마트24),2+1
CJ)모닝두부1700,1700,7-ELEVEN(세븐일레븐),2+1
CJ)비비고가자미구이70g,3900,CU(씨유),2+1
CJ)비비고갈비탕400g,6500,CU(씨유),2+1
CJ)비비고고등어구이60g,3900,CU(씨유),2+1
CJ)비비고김치볶음80g,1400,EMART24(이마트24),2+1
CJ)비비고김치볶음80g,1400,MINISTOP(미니스톱),2+1
CJ)비비고김치왕교자385G,4800,GS25(지에스25),2+1
CJ)비비고김치왕교자385g,4800,CU(씨유),2+1
CJ)비비고누룽지닭백숙죽,3900,EMART24(이마트24),1+1
CJ)비비고단호박죽,3900,EMART24(이마트24),1+1
CJ)비비고단호박죽280G,3900,GS25(지에스25),1+1
CJ)비비고단호박죽용기,3900,CU(씨유),1+1
CJ)비비고닭백숙죽용기,3900,CU(씨유),1+1
CJ)비비고돼지고기김치찌개460G,6500,GS25(지에스25),2+1
CJ)비비고돼지김치찌개,6500,CU(씨유),2+1
CJ)비비고매운왕교자315G,4800,GS25(지에스25),2+1
CJ)비비고미역국500g,4500,EMART24(이마트24),2+1
CJ)비비고배추김치200g,2700,CU(씨유),2+1
CJ)비비고버섯야채죽,3900,EMART24(이마트24),1+1
CJ)비비고버섯야채죽280G,3900,GS25(지에스25),1+1
CJ)비비고베이컨김치볶음70G,1600,GS25(지에스25),2+1
CJ)비비고볶은김치80g,1400,7-ELEVEN(세븐일레븐),2+1
CJ)비비고사골곰탕500g,1900,EMART24(이마트24),2+1
CJ)비비고새우왕교자315G,4800,GS25(지에스25),2+1
CJ)비비고설렁탕500g,4500,CU(씨유),2+1
CJ)비비고설렁탕500g,4500,EMART24(이마트24),2+1
CJ)비비고소고기무국500G,4500,GS25(지에스25),2+1
CJ)비비고소고기무국500g,4500,CU(씨유),2+1
CJ)비비고소고기미역국500,4500,CU(씨유),2+1
CJ)비비고소고기미역국500G,4500,GS25(지에스25),2+1
CJ)비비고소고기죽280G,3900,GS25(지에스25),1+1
CJ)비비고소고기죽용기,3900,CU(씨유),1+1
CJ)비비고쇠고기무국500g,4500,EMART24(이마트24),2+1
CJ)비비고쇠고기죽,3900,EMART24(이마트24),1+1
CJ)비비고수제만두고기,3500,CU(씨유),2+1
CJ)비비고수제만두고기200G,3500,GS25(지에스25),2+1
CJ)비비고수제만두김치,3500,CU(씨유),2+1
CJ)비비고수제만두김치200G,3500,GS25(지에스25),2+1
CJ)비비고스팸부대찌개460,6500,CU(씨유),2+1
CJ)비비고스팸부대찌개460G,5900,GS25(지에스25),2+1
CJ)비비고썰은배추김치60G,1000,GS25(지에스25),2+1
CJ)비비고썰은배추김치60g,1000,EMART24(이마트24),2+1
CJ)비비고썰은배추김치60g,1000,CU(씨유),2+1
CJ)비비고야채죽용기,3900,CU(씨유),1+1
CJ)비비고왕교자420G,4800,GS25(지에스25),2+1
CJ)비비고왕교자만두420g,4800,CU(씨유),2+1
CJ)비비고육개장500G,4500,GS25(지에스25),2+1
CJ)비비고육개장500g,4500,CU(씨유),2+1
CJ)비비고육개장500g,4500,EMART24(이마트24),2+1
CJ)비비고전복죽280G,3900,GS25(지에스25),1+1
CJ)비비고전복죽280g,3900,EMART24(이마트24),1+1
CJ)비비고전복죽용기,3900,CU(씨유),1+1
CJ)비비고찐만두168g,3200,EMART24(이마트24),2+1
CJ)비비고찐만두168g,3200,CU(씨유),2+1
CJ)비비고찐만두청양고추,3200,CU(씨유),2+1
CJ)비비고찐만두청양고추168g,3200,EMART24(이마트24),2+1
CJ)비비고차돌된장찌개,6500,CU(씨유),2+1
CJ)비비고차돌된장찌개460G,6500,GS25(지에스25),2+1
CJ)비비고콩나물황태국500G,4500,GS25(지에스25),2+1
CJ)비비고토종김(참기름)20G,1800,GS25(지에스25),2+1
CJ)비비고토종참기름식탁김20g,1800,EMART24(이마트24),2+1
CJ)비비고통단팥죽,3900,EMART24(이마트24),1+1
CJ)비비고통단팥죽280G,3900,GS25(지에스25),1+1
CJ)비비고통단팥죽용기,3900,CU(씨유),1+1
CJ)비비고황태해장국500g,4500,EMART24(이마트24),2+1
CJ)비비고흑임자죽,3900,EMART24(이마트24),1+1
CJ)비비고흑임자죽280G,3900,GS25(지에스25),1+1
CJ)비비고흑임자죽용기,3900,CU(씨유),1+1
CJ)빅소시지150g,3000,MINISTOP(미니스톱),1+1
CJ)빅핫바불닭구이90g,2000,7-ELEVEN(세븐일레븐),2+1
CJ)삼호어묵얼큰오뎅한그릇360G,2700,GS25(지에스25),2+1
CJ)삼호어묵오뎅한그릇360G,2700,GS25(지에스25),2+1
CJ)삼호얼큰오뎅한그릇,2700,EMART24(이마트24),2+1
CJ)삼호오뎅한그릇,2700,EMART24(이마트24),2+1
CJ)수제고기만두200G,3500,EMART24(이마트24),2+1
CJ)수제김치만두200G,3500,EMART24(이마트24),2+1
CJ)숯불닭강정200g,4800,EMART24(이마트24),2+1
CJ)숯불닭강정아찔하게매운맛200g,4800,EMART24(이마트24),2+1
CJ)숯불바베큐바280g,4800,EMART24(이마트24),2+1
